data_type,sample_type,perplexity
train,all_z_prime,165.75
train,NONE_z_prime,169.96295134630367
train,SBAR_z_prime,171.19930092185842
train,PP_z_prime,176.49873635935745
train,ADJP_z_prime,158.82339075822844
train,QP_z_prime,161.21239410461112
train,WHNP_z_prime,157.48449704574801
train,ADVP_z_prime,166.0823093008334
train,z,242.44
valid,all_z_prime,151.31
valid,NONE_z_prime,156.333613207262
valid,SBAR_z_prime,154.92487135398457
valid,PP_z_prime,158.63685423480422
valid,ADJP_z_prime,145.52254061010711
valid,QP_z_prime,150.14304871540958
valid,WHNP_z_prime,142.16202640715838
valid,ADVP_z_prime,152.20382519167455
valid,z,214.71
